,vol
PHUN,38.83827942
AMC,38.34828966
AHT,35.67546663
EXPR,33.4920492
ECOR,32.1193515
OCX,29.34824932
XELA,28.71781353
AGE,27.96445084
ICD,27.91021424
WTRH,27.89456385
SVRA,26.00532147
IDEX,25.61128836
USWS,23.36523951
NINE,23.25229955
WATT,22.91692384
AXAS,22.59546224
AVCO,22.55610444
QEP,21.25087605
MITT,21.14635782
TEUM,21.07083
TUSK,21.0410273
CBAY,20.5075372
GCI,20.23339963
JILL,19.96700353
ABEO,19.4425005
NEXT,19.39116348
PEI,18.87890296
PTE,18.68156911
TYME,18.67051445
SIEB,18.64840183
TELL,18.64639766
MBIO,18.61322008
SENS,18.55072539
ACER,18.54263315
ELOX,18.46454039
TTI,18.46266814
YRCW,18.37166461
VBIV,18.35743355
PHAS,18.33004755
XAN,17.96701711
BTU,17.70967281
ASRT,17.69099642
FLDM,17.6181123
FTK,17.60548217
LTRPA,17.53382105
YCBD,17.48430122
BHR,17.34457511
SD,17.11181264
LQDA,17.0390779
REI,17.03040911
